연월일,과목,문제번호,문제내용,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설
20250918,일반,100,"다음은 STR 보고서 작성 및 점검 절차에 대한 설명이다. 가장 알맞지 않은 것을 고르시오.","","거래모니터링 전담 직원은 STR 보고서를 작성할 때_ 단순하게 해당 위험신호만을 조사하는 것이 아니라 다양한 정보(예_ CDD_ CTR_ 신용불량 여부_ 금융거래정보제공 요청 여부 등)를 통하여 조사한 후 STR로 보고할 것인지 여부를 판단하여야 함","모든 임직원이 그 누구의 방해 없이 의심스러운 거래를 보고할 수 있게 내부보고체계를 마련하는 것이 중요하며_ 반드시 영업점 내에서 담당책임자의 확인을 거쳐 본점 보고책임자에게 보고가 이뤄야 하는 것은 아니다.","모니터링 전담 조직의 역량이 충분하지 않아 조사를 적정하게 수행하지 못할 경우_ STR 미보고 또는 품질이 낮은 STR 보고가 이루어질 수 있어 보고책임자는 거래모니터링 전담조직에 대한 지속적인 교육을 제공하여 조사자들이 충분한 지식과 기술을 하여야 함","금융회사에서 STR 보고시 외부정보 등도 활용이 가능함. 예를 들어 법인고객의 경우 신용정보회사가 제공하는 지배구조_ 소유구조를 파악할 수 있는 정보_ 외부감사보고서에 부정적 의견이 존재하는지 여부_최근 과도한 매출 증가 또는 감소가 있는지 여부_ 또는 포탈서비스 등에 해당 고객에 대한 부정적인 보도가 있는 여부 등을 활용하여 의심거래 여부를 판단할 수 있음","자금세탁 관련 위험신호나 내부 의심거래보고에 대하여 혐의 없다고 판단되는 경우에는 간략하게 [혐의없음]_ [정상영업거래]_ [의심스러운 거래로 판단할만한 사유가 없음] 로 기술하여 종결할 수 있음",5,"[내부 의심거래 보고 등에 대하여 의심이 없다고 판단하여 종결할 경우에는 상세한 사유를 기술하여야 하며_ 간략하게 기술할 경우 내부감사나_ 규제당국의 검사등에서 지적될 수 있음]"
20250920,일반,101,다음 카지노사업자의 자금세탁 관련 설명으로 옳은 것은?,,카지노사업자는 CTR 보고 의무가 없다.,카지노 사업자의 일회성 CDD 대상 기준 금액은 100만원 초과 또는 이에 상응하는 외화거래이다.,외국 카지노 사업자의 경우_ 여권에 대한 위변조 조회를 수행하므로 위조여권에 의한 원천적인 리스크를 원천적으로 통제하고 있어 더 이상 위조여권에 의한 거래는 불가하다.,최근 당국 규제당국의 카지노사업자에 대한 감독관리를 강화하여 수백억원대의 과태료 부과 처분이 발생하고 있다.,카지노사업자는 신용제공_ 수표교환_ 환전 등의 서비스를 제공하고 현금을 통한 칩 교환등이 가능하고_ 타인명의에 의한 거래 가능성이 높아 자금세탁방지 제도 이행 초기부터 카지노사업자에 대한 자금세탁방지 의무를 부과하고 있다.,5,"1. 카지노사업자는 CTR 보고 의무가 있다. 2. 카지노 사업자의 일회성 CDD 대상 기준 금액은 300만원 또는 이에 상응하는 외화거래이다. 3. 외국 카지노 사업자의 경우_ 여권에 대한 위변조 조회를 수행하지만 위조여권에 의한 원천적인 리스크를 통제할 수는 없다. 4. 최근 당국 규제당국의 카지노사업자에 대한 감독관리를 강화하여 수십억원대의 과태료 부과 처분이 발생하고 있다."
20250920,일반,102,다음 중 의심스러운 거래로 보고하지 않을 수 있다고 판단되는 경우를 고르시오.,,고객에 의한 대출사기가 발생하여 금융회사가 해당 금융대출사기를 수사기관에 신고한 경우,홍길동은 대기업 회장인 임꺽정의 자금을 관리하는 자로 알려졌는데_ 최근 홍길동의 계좌에 압수수색영장이 발부되었는데_ 압수수색영장은 홍길동의 계좌 내역을 요청하는 압수수색영장에 홍길동이 임꺽정의 비자금형성에 주범으로 기재되어 있는 경우,다수인으로부터 하루에 수백건의 소액 자금이 빈번하게 입금되는 계좌를 보유한 고객의 거래명세 적요란에 [스포츠토토]_ [대박]_ [로또]등이 기재된 거래가 많고_ 인터넷 검색결과_ 최근 불법도박사이트로 검찰 조사가 진행 중이라는 기사를 발견한 경우,홍길동이 자신 명의로 동창회모임 통장으로 개설하는 경우,무직으로 확인된 고길동은 다수인로부터 소액으로 입금된 자금을 매일 1천만원 이하(주로 9백 5십만원과 9백 8십만원 사이)의 현금을 인출하는 거래를 하는데_ 현금 인출사유는 그냥 집에 보관하기 위한 목적이라고 하며_ 항상 동반자와 함께 내점을 하고 그의 지시에 따라 거래를 수행함,4,동창회 등 모임 계좌는 선의의 차명계좌에 해당하여 불법행위 목적의 차명계좌로 분류하지 않음
20250920,일반,103,금융회사등이 자신의 자금세탁행위 등의 위험을 확인_ 평가_ 이해하기 위해 적절한 조치를 취하여야 한다. 다음 중 알맞지 않은 것을 고르시오.,,위험평가등의 결과를 문서화하여야 한다.,전반적 위험의 수준과 위험과 위험의 완화를 위해 적용되어야 할 적절한 조치의 수준과 종류를 결정하기에 앞서 관련된 모든 위험 요소들을 고려하여야 한다.,위험평가등의 결과를 지속적으로 최신 상태로 유지하여야 한다.,자금세탁방지 업무규정 제28조(위험평가)_ 제29조(국가위험)_ 제30조(고객유형평가)_ 제31조(상품 및 서비스 위험)의 내용을 위험평가등에 반영하여야 한다.,위험평가등의 정보를 법 집행기관에 제공하기 위한 적절한 운영체계 구축해야 한다.,5,위험평가등의 정보를 금융정보분석원장 및 검사수탁기관의 장에게 제공하기 위한 적절한 운영체계를 구축하여야 함
20250920,일반,104,다음 중 고위험 고객으로 분류되어 강화된 고객확인의무가 부과되는 고객에 해당하지 않는 경우를 고르시오,,영국 총리,금융회사 내부에서 고액자산가로 분류한 금융자산이 100억원이 넘는 고객,은행과 환거래계약을 맺은 해외 은행,행복시 천국동주민센터 사회복지과 과장,미얀마 국적의 미얀마에 거주하는 고객,4,현재 한국 정치적 주요인물에 대해서는 강화된 고객확인의무를 이행할 것을 법규로 요구하고 있지 않으며_ 특히 낮은 직급의 공직을 가진 자는 정치적 주요인물로 분류하지 않는다.
20250920,일반,105,"다음 문장의 ()안에 들어갈 알맞은 것을 고르시오. [금융정보분석원은 평가의 효율성 제고를 위하여 매년 수행되는 종합평가와 분기별로 수행되는 ( ① )의 이중 부담 등을 고려하여 2021 년 3 분기부터 두 평가를 통합한 제도이행평가를 수행하고 있으며_ 2024 년 현재에는 ( ② )로 평가를 이행하고 있다.]",,① 제도이행평가_ ② 반기별,① 제도이행평가_ ② 분기별,① 종합평가_ ② 분기별,① 종합평가_ ② 월별,① 제도이행평가_ ② 월별,1,금융정보분석원은 평가의 효율성 제고를 위하여 매년 수행되는 종합평가와 분기별 수행되는 (① 제도이행평가)의 이중 부담 등을 고려하여 2021년 3분기부터 두 평가를 통합한 제도이행평가를 수행하고 있으며_ 2024년 현재에는 (② 반기별)로 평가를 이행하고 있다.
20250920,일반,106,다음 중 자금이동규칙(Travel rule)의 필수 정보가 아닌 것은?,,송금인 이름,송금인 계좌번호(거래에 사용되는) - 지갑주소,송금인의 물리적 주소 or 국가실명번호 or CI or 생년월일,수취인 이름,송금인의 자금 출처 정보,5,Travel rule은 송금 VASP와 수취 VASP간의 정보 공유에 대한 내용으로 송금인과 수취인의 이름_ 송금인과 수취인의 계좌번호(지갑주소)_ 주소 및 국가정보_ 생년월일 정보 등을 정보가 전달되어야 한다.
20250920,일반,107,자금세탁방지는 각종 국제조약 및 협약_ 국제 결의에서 그 근거를 찾을 수 있는데 다음 보기가 설명하고 있는 국제 협약/결의안은?,,1988년 비엔나 협약,2001년 UNSCR 1373호,1999년 메리다 협약,2000년 팔레모 협약,1999년 테러자금억제를 위한 국제협약,1,1998년도에 체결된 비엔나 협약의 공식 명칭은 United Nations Convention Against Illicit traffic in Narocotic Drugs and Psychotropic Substance로 마약 관련 자금세탁방지를 다루고 있다.
20250920,일반,108,다음 중 금융회사등이 추가정보 확인이 필요한 고객으로 고려하여야 하는 대상에 해당하지 않은 것을 고르시오.,,파라다이스 카지노,필리핀 한국 대사,모든 비거주자 고객,고가의 귀금속 판매상,증권사의 고액자산가 고객인 홍길동,3,비거주자 고객의 경우_모두 추가정보 확인인 필요한 것이 아니라_ 자금세탁행위등의 위험도를 고려하여 달리 정할 수 있음
20250920,일반,109,"다음은 정치적 주요인물에 대한 고객확인의무에 대한 설명이다. 옳은 것을 모두 고르시오.",가) 외국의 정치적 주요인물이 신규로 계좌를 개설하는 경우 관리자의 승인을 득한 후 거래를 진행하여야 한다. 나) 법인 고객의 경우 실소유자가 정치적 주요인물과 연관성이 있는지 여부를 확인할 필요까지는 없고 당해 법인에 대해서만 확인하면 된다. 다) 정치적 주요인물의 범위에는 해당 정치적 주요인물과 그의 가족과 그와 정치적 성향을 같이하는 자도 반드시 포함해야 한다. 라) 정치적 주요인물은 자신의 권력을 이용한 부패리스크가 높기 때문에 강화된 고객확인이 요구된다. 마) 외국의 정치적 주요인물이라 함은 현재 또는 과거에 외국에서 정치_ 사회적으로 영향력을 가진 사람들과 그들의 가족 또는 밀접한 관계가 있는 자를 의미한다.,가_ 마,나_ 마,다_ 라_ 마,라_ 마,다_ 마,4,가) 외국의 정치적 주요인물이 신규로 계좌를 개설하는 경우 고위경영진의 승인을 득한 후 거래를 진행하여야 한다. 나) 법인 고객의 경우 실소유자가 정치적 주요인물과 연관성이 있는지 여부를 확인하여야 한다. 다) 정치적 주요인물의 범위에는 해당 정치적 주요인물과 그의 가족과 그와 정치적 성향을 같이하는 자가 아니라 정치인의 자금을 관리하는 자로 알려진 인물을 측근으로 포함하여야 함
20250920,일반,110,"다음은 인수합병시 고객확인제도에 대한 설명이다. 옳지 않을 것을 모두 고르시오.",가) 금융회사등은 인수_ 합병 등을 통해 새롭게 고객이 된 자에 대해서도 고객확인을 이행하여야 한다. 나) 인수하는 금융회사가 피인수 금융회사로부터 고객확인 관련기록을 입수하고 특정금융정보법 제 5조의 2에 의한 고객확인 이행을 보증받았을 경우 인수합병에 따른 고객확인을 생략할 수 있다. 다) 인수하는 금융회사가 피인수 금융회사로부터 고객확인 관련자료를 입수하고 특정금융정보법 제 5조의 2에 의한 고객확인 이행을 보증받고_ 고객확인 관련 자료에 대한 표본추출 점검 등을 통해 적정하다고 판단한 경우 인수합병에 따른 고객확인을 생략할 수 있다. 라) 금융회사등이 비금융회사를 인수합병할 경우_ 피인수회사의 고객에 대해서는 별도의 고객확인을 수행할 필요가 없다. 마) 표본추출 점검을 통하여 적정하지 않다고 판단되는 경우 피인수회사의 고객에 대하여 새롭게 고객확인을 수행할 필요가 있다.,가_ 라,나_ 라,나_ 마,나_ 다,나_ 다_ 라,2,"금융회사등이 비금융회사를 인수합병할 경우_ 피인수회사의 고객에 대해서는 인수한 금융회사등의 CDD 정책에 따라 CDD를 수행하여야 한다."
20250920,일반,111,다음 중 의심거래 참고유형에서 의심스러운 거래로 보는 대표적인 예시에 해당하지 않는 것을 고르시오,,금융거래자의 요청에 의하여 현금거래로 처리하는 등 평소 금융거래 형태와 상이한 거래로서 거액의 금융거래 또는 분할거래를 하고 있다고 의심되는 경우,부모가 미성년자 자녀 명의로 3천만원 주식계좌를 개설하면서 증여세 증빙자료를 제출한 경우,평소 통상적 금융거래 형태를 유지하고 있는 급여생활자_ 개인사업자_ 중소기업 등의 계좌에서 거액의 금융거래가 발생하고_ 자금의 실제 당사자 여부를 확인하는 과정에서 의심되는 경우,미성년자 명의로 개설된 계좌에서 거액의 금융거래가 발생하는 경우,직업 및 사업내용 등이 명확히 파악되지 않는 고객이 다수의 타인 명의의 계좌를 소지하고_ 거액의 금융거래를 하는 경우,2,미성년자 계좌의 거액 거래에 대한 가장 주목하는 위험은 탈세위험인데_ 증여서 증빙자료를 제출하는 경우에는 정당한 거래로 간주할 수 있음
20250920,일반,112,"다음은 의심거래 판단기준에 대한 설명이다. 옳은 것을 모두 고르시오.",가) 의심이란 금융회사의 직원으로서 무엇인가 정상적이지 않다는 의심이 발생하는 것을 의미한다. 나) 반드시 자금세탁행위가 발생하였다거나 의도가 있다는 확신이나 증거가 필요한 것은 아니다. 다) STR보고의 활성화를 위해 의심이 있다는 추측만을 가지고 보고하는 것도 허용한다. 라) 금융회사 직원의 업무적인 전문지식_ 경험 등을 활용하여 [의심거래보고]를 종합적으로 판단하는 것이 가장 효과적이다. 마) 고객과 직접 접촉하는 일선 창구직원은 고객과의 친밀성 등이 존재할 수 있으므로 창구직원이 내부 의심거래를 판단하여 보고하는 것은 바람직하지 않다.,가_ 나,나_ 다_ 라,가_ 나_ 마,가_ 나_ 라,나_ 다_ 라,4,다) 의심이 있다는 추측만을 가지고 보고해서는 안 된다. 마) 고객과 직접 접촉하는 일선 창구직원은 거래자 및 거래내용을 확인하는 과정에서 의심스러운 거래를 가장 잘 인지할 수 있으므로 창구직원이 내부 의심거래를 판단하여 보고하는 것은 효율적일 수 있다.
20250920,일반,113,다음 () 안에 들어갈 용어로 맞는 것은? [금융회사(금융회사 종사자 포함)는 의심스러운 거래보고를 한 경우 당해 보고와 관련된 금융거래의 상대방 및 그의 관계자에 대하여 ( ① )을 지지 않는다. 또한_ 의심스러운 거래 보고에 관여한 금융회사의 종사자는 특정금융정보법의 규정과 관련된 ( ② )를 제외하고는 당해 보고와 관련된 사항에 대하여 ( ③ )을 거부할 수 있다.],,① 손해배상책임_ ② 조사_ ③ 협조,① 협조의무_ ② 조사_ ③ 증언,① 신의성실의무_ ② 재판_ ③ 증언,① 신의성실의무_ ② 조사_ ③ 협조,① 손해배상책임_ ② 재판_ ③ 증언,5,금융회사(금융회사 종사자 포함)는 의심스러운 거래보고를 한 경우 당해 보고와 관련된 금융거래의 상대방 및 그의 관계자에 대하여 (① 손해배상책임 )을 지지 않는다. 또한_ 의심스러운 거래 보고에 관여한 금융회사의 종사자는 특정금융정보법의 규정과 관련된 (② 재판)를 제외하고는 당해 보고와 관련된 사항에 대하여 (③ 증언) 거부할 수 있다.
20250920,일반,114,다음 중 무역기반 자금세탁방지와 관련한 FATF 가이던스에서 제시하고 있는 TBML 위험지표에 해당하지 않는 것은?,,신기술 관련 위험지표 : 무역에 과도한 신기술 적용_ 가상자산을 활용한 무역거래 등,무역거래 문서 및 상품위험 지표 : 위조서류_ 일관성이 결여된 문서 등,무역 활동 위험지표 : 정상적이지 않은 중간기착지_ 비정상적로 복잡한 무역거래 등,회계와 거래활동 위험지표 : 결제 단계에서 수취인 변경_ 입금계좌가 PTA_ 끝전이 비정상적인 경우,구조적 위험지표 : 부적정한 사업장 주소_ 위장회사_ 고위험국가 등,1,"2~5) 가 FATF 가이던스에서 제시하는 위험지표이다."
20250920,일반,115,다음 중 선의의 차명 계좌에 해당하는 것을 모두 고르시오.,가) 장희빈은 동네 친목 목적으로 계모임 계좌를 본인 명의로 개설하였음 나) 홍길동은 문중의 장손으로 문중자금을 관리하기 위하여 본인 명의로 계좌를 개설함 다) 장길산은 자신의 미성년자 아들인 장무기의 자금을 관리하기 위하여 본인(장길산) 명의의 계좌를 개설함 라) 임꺽정은 교회의 총무인데_ 교회의 금융자산을 관리하기 위하여 본인 명의로 계좌를 개설함 마) 어우동은 친구인 장녹수가 금융소득종합과세가 너무 많이 나오자 이를 도와주기 위하여 자신의 명의로 일부 자금을 거래하여 줌,가_ 나,가_ 마,나_ 다,가_ 다_ 라,가_ 나_ 다_ 라,5,선의의 차명계좌의 대표적인 사례 1. 계_ 부녀회_ 동창회 등 친목모임 회비를 관리하기 위하여 대표자(회장_ 총무_ 간사) 명의의 계좌를 개설하는 행위 2. 문중_ 교회 등 임의단체 금융자산을 관리하기 위해 대표자(회장_ 총무_ 간사) 명의 계좌를 개설하는 행위 3. 미성년 자녀의 금융자산을 관리하기 위해 부모명의 계좌에 예금하는 행위 등이 있음
20250920,일반,116,유럽연합(EU) 제5차 AML Directives의 내용이 아닌 것은?,,FIU를 통한 간편한 모니터링,간소화된 CDD실시,가상자산(Crypto Asset)시장 개방,선불카드의 요구사항 강화,중앙등록시스템의 편리한 접속과 투명성 강화,2,간소화된 CDD는 제3차 AML Directive에 적용되었다.
20250920,일반,117,다음 중 2018년 정부 관계합동기관이 발표한 국가위험평가서에서 범죄수익을 창출하는 전제범죄 분석을 통하여 파악된 한국의 자금세탁 주요 위험에 해당하지 않는 것을 고르시오,,탈세_ 조세포탈(관세포탈 포함),금융사기,마약범죄,재산국외도피,주가조작 등 불공정거래,3,마약범죄가 최근 급증하고 있으나 범죄수익을 창출하는 전제범죄 분석을 통하여 파악된 주요 위험에는 해당하지 않음
20250920,일반,118,TBML(Trade Based Money Laundering-무역거래기반 자금세탁행위)에 대한 설명이다. 옳지 않은 것을 고르시오.,,무역업체가 고밀도 주거용건물에 사업장을 가지고 있거나_ 사서함 주소를 가지고 있거나 특정 호수에 대한 언급이 없는 상업용 건물에 주소지를 둔 경우에는 위험신호로 보지 않고 거래거절 사유로 판단하여 거래를 거절하여야 한다.,TBML이란 불법자금의 원천을 합법화시키기 위한 목적으로 무역거래를 이용하여 범죄수익을 가장하거나 이동시키는 일련의 과정이다.,TBML 거래를 파악하기 위하여 특정거래 유형에 ML 위험신호로 파악하여 모니터링이 이루어질 수 있도록 프로세스를 구현하는 것이 필요한다. 일반적으로 BATF가 Wolfsberg 그룹과 마련한 표준위험신호를 사용할 수 있으나_ 각 금융회사의 거래 상품에 따라 상이하게 적용될 수 있다.,새로 설립되었거나_ 최근에 다시 거래가 활성화된 무역법인이 대규모 고가치 무역활동에 참여하는 경우는 위험신호로 파악하여 추가적인 조사를 수행할 필요가 있다.,무역업체가 자신의 계산으로 상품을 구매하지만 구매금액이 현저하게 기업의 경제적 능력을 초과하는 경우 위험신호로 파악하여 추가적인 조사를 수행할 필요가 있다.,1,무역업체가 고밀도 주거용건물에 사업장을 가지고 있거나_ 사서함 주소를 가지고 있거나 특정 호수에 대한 언급이 없는 상업용 건물에 주소지를 둔 경우에는 위험신호로 판단하여 주소지가 불명확한 사유에 대한 추가조사를 진행하여 명확한 사유가 설명되지 않을 경우 거래거절 사유로 판단할 수 있다.
20250920,일반,119,다음 중 범죄수익등의 몰수와 추징과 관련하여 잘못 설명하고 있는 것은?,,몰수는 범죄수익등을 범죄수익이 범죄피해재산인 경우에도 그 가액을 추정하여 몰수할 수 있다. 압수하여 국고에 귀속시키는 행위을 말한다.,추징은 몰수가 불가능하거나 부적절할 경우 그 가액을 징수하는 것을 말한다.,범죄수익뿐만 아니라 범죄수익에서 유래한 재산_ 범죄수익의 보수_ 이 재산의 대가/처분으로서 얻은 재산을 모두 포함하여 '범죄수익등'으로 표현한다,범죄수익이 범죄피해재산인 경우에도 그 가액을 추정하여 몰수할 수 있다.,금융회사 직원이 범죄조직의 자금세탁을 도와주고 대가로 받은 재산이 있다면 몰수될 수 있다.,4,범죄수익이 범죄피해재산인 경우에는 몰수 및 추징이 불가능하다.
20250920,일반,120,다음 중 실소유자 확인 면제 대상 기관이 아닌 것을 모두 고르시오.,가) 강원랜드 나) 예술의 전당 다) 한국은행 라) 전국은행 연합회 마) 한국귀금속판매중앙회,가_ 나,가_ 나_ 라_ 마,가_ 마,가_ 나_ 마,가_ 라_ 마,3,예술의 전당_ 한국은행_ 전국은행연합회는 금융정보분석원장이 지정한 실소유자면제 대상임
